CodaType	ICIs_ms	tempo_ms	gcd	exact_shape	permille_rhythm
5R3	[357, 350, 347, 363]	1417	1	[357, 350, 347, 363]	[252, 247, 245, 256]
5R3	[284, 296, 302, 304]	1186	2	[142, 148, 151, 152]	[239, 250, 255, 256]
5R3	[271, 276, 278, 294]	1119	1	[271, 276, 278, 294]	[242, 247, 248, 263]
1+1+3	[242, 231, 171, 145]	789	1	[242, 231, 171, 145]	[307, 293, 217, 184]
1+1+3	[378, 364, 159, 156]	1057	1	[378, 364, 159, 156]	[358, 344, 150, 148]
1+1+3	[435, 410, 184, 184]	1213	1	[435, 410, 184, 184]	[359, 338, 152, 152]
4R2	[358, 323, 336]	1017	1	[358, 323, 336]	[352, 318, 330]
4R2	[365, 314, 307]	986	1	[365, 314, 307]	[370, 318, 311]
4R2	[269, 259, 287]	815	1	[269, 259, 287]	[330, 318, 352]
5R1	[89, 92, 77, 71]	329	1	[89, 92, 77, 71]	[271, 280, 234, 216]
5R1	[81, 77, 74, 80]	312	1	[81, 77, 74, 80]	[260, 247, 237, 256]
5R1	[102, 95, 75, 66]	338	1	[102, 95, 75, 66]	[302, 281, 222, 195]
3R	[102, 68]	170	34	[3, 2]	[600, 400]
3R	[87, 103]	190	1	[87, 103]	[458, 542]
3R	[46, 72]	118	2	[23, 36]	[390, 610]
4D	[263, 154, 106]	523	1	[263, 154, 106]	[503, 294, 203]
4D	[247, 163, 100]	510	1	[247, 163, 100]	[484, 320, 196]
4D	[251, 151, 109]	511	1	[251, 151, 109]	[491, 295, 213]
