before_ms	after_ms	shape_kept	drift_ms
[93, 87, 71, 64]	[87, 87, 74, 70]	1	3
[263, 255, 165, 140]	[245, 250, 184, 140]	1	-4
[89, 98, 71, 60]	[88, 98, 77, 64]	1	9
[99, 93, 72, 68]	[104, 98, 71, 75]	1	16
[378, 369, 209, 178]	[404, 370, 203, 188]	1	31
[452, 426, 217, 206]	[456, 447, 212, 212]	1	26
[275, 260, 168, 145]	[295, 266, 150, 152]	1	15
[243, 226, 166, 169]	[225, 196, 160, 167]	1	-56
[283, 251, 159, 143]	[443, 426, 187, 189]	0	409
[108, 144, 122, 119]	[112, 129, 112, 112, 176]	0	148
[243, 269, 217, 135]	[290, 274, 183, 153]	0	36
[435, 407, 164, 162]	[396, 368, 169, 177]	0	-58
[394, 346, 205, 152]	[413, 392, 157, 208]	0	73
[359, 328, 184, 146]	[361, 360, 146, 152]	0	2
[82, 102, 79, 76]	[113, 109, 74, 73]	0	30
[88, 82, 66, 54, 47, 56]	[114, 97, 80, 70]	0	-32
