varna	pattern	uddista	matra	guru	codas	top_types
1	L	2	1	0	6	[('2-NOISE', 6)]
2	LL	4	2	0	55	[('3D', 21), ('3R', 19), ('3-NOISE', 15)]
2	GL	3	3	1	42	[('3D', 40), ('3R', 1), ('3-NOISE', 1)]
2	LG	2	3	1	6	[('3-NOISE', 5), ('3R', 1)]
3	LLL	8	3	0	405	[('4R2', 334), ('4R1', 46), ('4-NOISE', 15)]
3	GLL	7	4	1	275	[('4D', 142), ('1+32', 71), ('1+31', 40)]
3	GGL	5	5	2	90	[('4D', 75), ('4-NOISE', 9), ('4R2', 2)]
3	LLG	4	4	1	36	[('4R1', 29), ('4-NOISE', 4), ('4R2', 3)]
3	LGG	2	5	2	6	[('4-NOISE', 4), ('4R1', 2)]
3	LGL	6	4	1	4	[('1+31', 2), ('4-NOISE', 1), ('4R2', 1)]
3	GLG	3	5	2	2	[('4R1', 1), ('4-NOISE', 1)]
4	GGLL	13	6	2	3726	[('1+1+3', 3427), ('5R1', 248), ('5-NOISE', 51)]
4	LLLL	16	4	0	1865	[('5R1', 842), ('5R3', 637), ('5R2', 283)]
4	GLLL	15	5	1	350	[('5R1', 250), ('1+1+3', 51), ('5-NOISE', 49)]
4	LGLL	14	5	1	211	[('5R1', 140), ('1+1+3', 54), ('5-NOISE', 14)]
4	LGGG	2	7	3	97	[('2+3', 77), ('5-NOISE', 20)]
4	LLLG	8	5	1	47	[('5-NOISE', 27), ('5R1', 14), ('5R3', 4)]
4	GGGL	9	7	3	47	[('1+1+3', 29), ('5R1', 11), ('5-NOISE', 7)]
4	LLGG	4	6	2	20	[('5-NOISE', 20)]
4	GGLG	5	7	3	7	[('5-NOISE', 5), ('5R1', 2)]
4	LLGL	12	5	1	4	[('5-NOISE', 3), ('5R1', 1)]
4	GLGL	11	6	2	3	[('5-NOISE', 2), ('5R1', 1)]
4	GLLG	7	6	2	3	[('5-NOISE', 3)]
4	LGLG	6	6	2	2	[('5-NOISE', 1), ('5R1', 1)]
4	GLGG	3	7	3	1	[('5-NOISE', 1)]
5	LLLLL	32	5	0	123	[('6R', 66), ('6i', 52), ('6-NOISE', 5)]
5	GGLLL	29	7	2	86	[('6-NOISE', 63), ('6i', 23)]
5	LLLLG	16	6	1	34	[('6i', 29), ('6-NOISE', 4), ('6R', 1)]
5	GLLLL	31	6	1	29	[('6i', 20), ('6-NOISE', 9)]
5	GGGLL	25	8	3	28	[('6-NOISE', 28)]
5	GGLLG	13	8	3	27	[('6-NOISE', 24), ('6i', 3)]
5	LLLGG	8	7	2	21	[('6i', 21)]
5	LGLLL	30	6	1	18	[('6i', 12), ('6-NOISE', 6)]
5	LGGGG	2	9	4	14	[('6i', 8), ('6-NOISE', 6)]
5	LLGGG	4	8	3	9	[('6i', 9)]
5	GLLLG	15	7	2	5	[('6i', 5)]
5	GGLGG	5	9	4	5	[('6-NOISE', 5)]
5	LGLLG	14	7	2	4	[('6i', 3), ('6-NOISE', 1)]
5	GGGGL	17	9	4	4	[('6-NOISE', 4)]
5	GGGLG	9	9	4	3	[('6-NOISE', 3)]
5	GLGGG	3	9	4	3	[('6-NOISE', 3)]
5	GGLGL	21	8	3	2	[('6-NOISE', 2)]
5	LGGLL	26	7	2	2	[('6i', 2)]
5	LGLGG	6	8	3	1	[('6i', 1)]
5	GLLGL	23	7	2	1	[('6-NOISE', 1)]
5	GLLGG	7	8	3	1	[('6-NOISE', 1)]
6	LLLLLL	64	6	0	86	[('7i', 45), ('7R', 23), ('7D1', 10)]
6	GGGLLL	57	9	3	79	[('7D1', 78), ('7i', 1)]
6	GGGGLL	49	10	4	55	[('7D1', 54), ('7i', 1)]
6	GGLLLL	61	8	2	35	[('7D1', 17), ('7D2', 13), ('7i', 4)]
6	LLLLLG	32	7	1	26	[('7i', 23), ('7D1', 2), ('7-NOISE', 1)]
6	LLLLGG	16	8	2	23	[('7i', 23)]
6	GGLLLG	29	9	3	22	[('7D2', 17), ('7D1', 3), ('7i', 1)]
6	LLLGGG	8	9	3	14	[('7i', 14)]
6	GLLLLL	63	7	1	13	[('7D1', 7), ('7i', 5), ('7-NOISE', 1)]
6	LGGGGG	2	11	5	7	[('7i', 6), ('7-NOISE', 1)]
6	LLGGGG	4	10	4	7	[('7i', 7)]
6	GGGLLG	25	10	4	4	[('7D1', 3), ('7D2', 1)]
6	GGLGGG	5	11	5	3	[('7D2', 2), ('7i', 1)]
6	GGLLGL	45	9	3	2	[('7D1', 2)]
6	LGLLLG	30	8	2	2	[('7i', 2)]
6	GGLGLL	53	9	3	2	[('7-NOISE', 2)]
6	LLLGLG	24	8	2	2	[('7i', 2)]
6	LLGLGG	12	9	3	2	[('7i', 2)]
6	GGLLGG	13	10	4	2	[('7D2', 2)]
6	LGLGGG	6	10	4	1	[('7i', 1)]
6	GLGLGG	11	10	4	1	[('7i', 1)]
6	GLGGGG	3	11	5	1	[('7i', 1)]
6	GLLGGG	7	10	4	1	[('7i', 1)]
6	GLGGLL	51	9	3	1	[('7D1', 1)]
6	GGGLGL	41	10	4	1	[('7i', 1)]
6	LGGLGG	10	10	4	1	[('7i', 1)]
6	GLGGGL	35	10	4	1	[('7i', 1)]
6	LLGLLL	60	7	1	1	[('7-NOISE', 1)]
6	LLGLLG	28	8	2	1	[('7i', 1)]
6	GLLLLG	31	8	2	1	[('7i', 1)]
6	LLLGLL	56	7	1	1	[('7i', 1)]
6	LGLLLL	62	7	1	1	[('7i', 1)]
6	LGLLGG	14	9	3	1	[('7i', 1)]
6	GGGGGL	33	11	5	1	[('7i', 1)]
6	GGGGLG	17	11	5	1	[('7-NOISE', 1)]
6	GGLGLG	21	10	4	1	[('7-NOISE', 1)]
7	LLLLLLL	128	7	0	88	[('8i', 61), ('8R', 20), ('8-NOISE', 7)]
7	LLLLLLG	64	8	1	47	[('8i', 43), ('8R', 3), ('8-NOISE', 1)]
7	GLLLLLL	127	8	1	20	[('8R', 17), ('8i', 2), ('8-NOISE', 1)]
7	GGLLLLG	61	10	3	18	[('8D', 10), ('8R', 4), ('8i', 3)]
7	LLLLLGG	32	9	2	15	[('8i', 15)]
7	GGLLLLL	125	9	2	10	[('8D', 8), ('8i', 1), ('8R', 1)]
7	LLLLGGG	16	10	3	8	[('8i', 8)]
7	LLLGGGG	8	11	4	6	[('8i', 6)]
7	GGGGLLL	113	11	4	6	[('8R', 6)]
7	GLLLLLG	63	9	2	5	[('8i', 3), ('8R', 2)]
7	LLGLLLL	124	8	1	4	[('8i', 4)]
7	LGGGGGG	2	13	6	3	[('8i', 3)]
7	GGLGGGG	5	13	6	3	[('8-NOISE', 1), ('8i', 1), ('8D', 1)]
7	LLLLGLG	48	9	2	3	[('8i', 3)]
7	LGLLLGG	30	10	3	3	[('8i', 2), ('8R', 1)]
7	LLGGGGG	4	12	5	2	[('8i', 2)]
7	GGGGGLL	97	12	5	2	[('8R', 1), ('8-NOISE', 1)]
7	LGLLLLL	126	8	1	2	[('8i', 2)]
7	LLLGLLL	120	8	1	2	[('8-NOISE', 2)]
7	GGLLLGG	29	11	4	2	[('8R', 1), ('8D', 1)]
7	LLGLGGG	12	11	4	1	[('8i', 1)]
7	LGGLGLL	106	10	3	1	[('8i', 1)]
7	LGLLGLL	110	9	2	1	[('8i', 1)]
7	LGLGLLL	118	9	2	1	[('8i', 1)]
7	LLLGLLG	56	9	2	1	[('8i', 1)]
7	LLGLLLG	60	9	2	1	[('8i', 1)]
7	GGGLLLG	57	11	4	1	[('8R', 1)]
7	GGGLGLL	105	11	4	1	[('8R', 1)]
7	GGGGLLG	49	12	5	1	[('8R', 1)]
7	LGGLLGG	26	11	4	1	[('8i', 1)]
7	LGGLGLG	42	11	4	1	[('8i', 1)]
7	LLLGGGL	72	10	3	1	[('8-NOISE', 1)]
7	LGLGLLG	54	10	3	1	[('8i', 1)]
7	GLLGLGG	23	11	4	1	[('8i', 1)]
7	LLGGLLL	116	9	2	1	[('8i', 1)]
7	LLLLGLL	112	8	1	1	[('8i', 1)]
7	LGGLLLL	122	9	2	1	[('8i', 1)]
7	GGLLGLL	109	10	3	1	[('8i', 1)]
7	LGGGLLG	50	11	4	1	[('8i', 1)]
7	LLGGLLG	52	10	3	1	[('8i', 1)]
7	GLLGLLL	119	9	2	1	[('8R', 1)]
7	GGGLGGG	9	13	6	1	[('8i', 1)]
7	LGGLLLG	58	10	3	1	[('8i', 1)]
7	LLLGLGG	24	10	3	1	[('8i', 1)]
8	LLLLLLLL	256	8	0	53	[('9i', 27), ('9R', 25), ('9-NOISE', 1)]
8	LLLLLLLG	128	9	1	39	[('9i', 36), ('9R', 2), ('9-NOISE', 1)]
8	GLLLLLLL	255	9	1	14	[('9R', 14)]
8	LLLLLLGG	64	10	2	11	[('9i', 11)]
8	GGLLLLLG	125	11	3	9	[('9-NOISE', 7), ('9R', 2)]
8	LLLGGGGG	8	13	5	6	[('9i', 6)]
8	LGLLLLLG	126	10	2	6	[('9i', 6)]
8	LGGGGGGG	2	15	7	5	[('9i', 5)]
8	LLLLLGGG	32	11	3	5	[('9i', 5)]
8	LLGLLLLL	252	9	1	5	[('9i', 5)]
8	LLGLLLLG	124	10	2	4	[('9i', 4)]
8	GGLLLGGG	29	13	5	3	[('9-NOISE', 2), ('9i', 1)]
8	GLLLLLGG	63	11	3	2	[('9i', 2)]
8	LLGGGGGG	4	14	6	2	[('9i', 2)]
8	LLLLLGLG	96	10	2	2	[('9i', 2)]
8	GLLLLLLG	127	10	2	2	[('9i', 2)]
8	GGLGLLGG	53	13	5	2	[('9i', 2)]
8	GGLLLLGG	61	12	4	2	[('9-NOISE', 1), ('9i', 1)]
8	LGLLLLGG	62	11	3	2	[('9i', 2)]
8	GGLLLLLL	253	10	2	2	[('9-NOISE', 2)]
8	GGGLLLLG	121	12	4	1	[('9i', 1)]
8	LLLGGGLG	72	12	4	1	[('9i', 1)]
8	LLGLGGGG	12	13	5	1	[('9i', 1)]
8	LGGLGGGG	10	14	6	1	[('9i', 1)]
