AffineProjectionQuantumBoundary.ProjectedX	S	Cubical.Data.Fin.Base.Fin 
AffineProjectionQuantumBoundary.EliminatedKernel	S	Cubical.Data.Fin.Base.Fin 
AffineProjectionQuantumBoundary.Solutions	S	Cubical.Data.Sigma.Base._×_ Agda.Primitive.lzero Agda.Primitive.lzero AffineProjectionQuantumBoundary.ProjectedX AffineProjectionQuantumBoundary.EliminatedKernel 
AffineProjectionQuantumBoundary.isSetSolutions	d:Cubical.Foundations.Prelude.isSet(d:Agda.Primitive.lzero()d:AffineProjectionQuantumBoundary.Solutions())	Cubical.Foundations.HLevels.isSet× Agda.Primitive.lzero Agda.Primitive.lzero Cubical.Data.Fin.Base.Fin Cubical.Data.Fin.Base.Fin Cubical.Data.Fin.Properties.isSetFin Cubical.Data.Fin.Properties.isSetFin 
AffineProjectionQuantumBoundary.projectX	P(d:AffineProjectionQuantumBoundary.Solutions(),d:AffineProjectionQuantumBoundary.ProjectedX())	Agda.Builtin.Sigma.Σ.fst 
AffineProjectionQuantumBoundary.kernelCoordinate	P(d:AffineProjectionQuantumBoundary.Solutions(),d:AffineProjectionQuantumBoundary.EliminatedKernel())	Agda.Builtin.Sigma.Σ.snd 
AffineProjectionQuantumBoundary.projectFiberIso	P(d:AffineProjectionQuantumBoundary.ProjectedX(),d:Cubical.Foundations.Isomorphism.Iso(d:Agda.Primitive.lzero()d:Agda.Primitive.lzero()d:Cubical.Foundations.Equiv.Base.fiber(d:Agda.Primitive.lzero()d:Agda.Primitive.lzero()d:AffineProjectionQuantumBoundary.Solutions()d:AffineProjectionQuantumBoundary.ProjectedX()d:AffineProjectionQuantumBoundary.projectX()v0())d:AffineProjectionQuantumBoundary.EliminatedKernel()))	Agda.Builtin.Sigma._,_ Agda.Builtin.Sigma._,_ AffineProjectionQuantumBoundary.projectX Agda.Builtin.Sigma._,_ Cubical.Foundations.Isomorphism.Iso.fun AffineProjectionQuantumBoundary.projectFiberIso Cubical.Foundations.Isomorphism.Iso.inv AffineProjectionQuantumBoundary.projectFiberIso Cubical.Data.Sigma.Properties.Σ≡Prop Agda.Primitive.lzero Agda.Builtin.Sigma.Σ Agda.Primitive.lzero Agda.Primitive.lzero AffineProjectionQuantumBoundary.ProjectedX AffineProjectionQuantumBoundary.EliminatedKernel Agda.Primitive.lzero Agda.Builtin.Cubical.Path._≡_ Agda.Primitive.lzero Cubical.Data.Fin.Base.Fin AffineProjectionQuantumBoundary.projectX Cubical.Data.Fin.Properties.isSetFin AffineProjectionQuantumBoundary.projectX Agda.Builtin.Sigma._,_ Agda.Builtin.Sigma._,_ Cubical.Foundations.Isomorphism.Iso.fun AffineProjectionQuantumBoundary.projectFiberIso Agda.Builtin.Sigma._,_ Agda.Builtin.Sigma._,_ AffineProjectionQuantumBoundary.projectX Agda.Builtin.Sigma._,_ Cubical.Foundations.Isomorphism.Iso.fun AffineProjectionQuantumBoundary.projectFiberIso Agda.Builtin.Sigma._,_ Agda.Builtin.Sigma._,_ Agda.Builtin.Sigma._,_ Agda.Builtin.Sigma._,_ Cubical.Foundations.Isomorphism.Iso.fun AffineProjectionQuantumBoundary.projectFiberIso Agda.Builtin.Sigma._,_ Agda.Builtin.Sigma._,_ Cubical.Data.Sigma.Properties._.ΣPathP Agda.Primitive.lzero Agda.Primitive.lzero AffineProjectionQuantumBoundary.ProjectedX AffineProjectionQuantumBoundary.EliminatedKernel Agda.Builtin.Sigma._,_ Cubical.Foundations.Isomorphism.Iso.fun AffineProjectionQuantumBoundary.projectFiberIso Agda.Builtin.Sigma._,_ Agda.Builtin.Sigma._,_ Agda.Builtin.Sigma._,_ Cubical.Foundations.Isomorphism.Iso.fun AffineProjectionQuantumBoundary.projectFiberIso Agda.Builtin.Sigma._,_ Agda.Builtin.Sigma._,_ Agda.Builtin.Sigma._,_ Agda.Primitive.Cubical.primINeg Cubical.Foundations.Isomorphism.Iso.fun AffineProjectionQuantumBoundary.projectFiberIso Agda.Builtin.Sigma._,_ Agda.Builtin.Sigma._,_ 
AffineProjectionQuantumBoundary.projection-environment-lower	P(S,P(P(d:AffineProjectionQuantumBoundary.Solutions(),v1()),P(d:Cubical.Functions.Embedding.isEmbedding(d:Agda.Primitive.lzero()d:AffineProjectionQuantumBoundary.Solutions()d:Agda.Primitive.lzero()d:Cubical.Data.Sigma.Base._×_(d:Agda.Primitive.lzero()d:Agda.Primitive.lzero()d:AffineProjectionQuantumBoundary.ProjectedX()v1())d:CertificateFibration._.recorded(d:Agda.Primitive.lzero()d:Agda.Primitive.lzero()d:Agda.Primitive.lzero()d:AffineProjectionQuantumBoundary.Solutions()d:AffineProjectionQuantumBoundary.ProjectedX()v1()d:AffineProjectionQuantumBoundary.projectX()v0())),d:Cubical.Functions.Embedding._↪_(d:Agda.Primitive.lzero()d:Agda.Primitive.lzero()d:AffineProjectionQuantumBoundary.EliminatedKernel()v2()))))	Cubical.Functions.Embedding.compEmbedding Agda.Primitive.lzero Cubical.Foundations.Equiv.Base.fiber Agda.Primitive.lzero Agda.Primitive.lzero AffineProjectionQuantumBoundary.Solutions AffineProjectionQuantumBoundary.ProjectedX AffineProjectionQuantumBoundary.projectX Cubical.Data.Fin.Base.fzero Agda.Primitive.lzero Agda.Primitive.lzero AffineProjectionQuantumBoundary.EliminatedKernel CertificateFibration._.fiber↪cert Agda.Primitive.lzero Agda.Primitive.lzero Agda.Primitive.lzero AffineProjectionQuantumBoundary.Solutions AffineProjectionQuantumBoundary.ProjectedX AffineProjectionQuantumBoundary.projectX Cubical.Data.Fin.Base.fzero Cubical.Functions.Embedding.Equiv→Embedding Agda.Primitive.lzero AffineProjectionQuantumBoundary.EliminatedKernel Agda.Primitive.lzero Cubical.Foundations.Equiv.Base.fiber Agda.Primitive.lzero Agda.Primitive.lzero AffineProjectionQuantumBoundary.Solutions AffineProjectionQuantumBoundary.ProjectedX AffineProjectionQuantumBoundary.projectX Cubical.Data.Fin.Base.fzero Cubical.Foundations.Isomorphism.isoToEquiv Agda.Primitive.lzero AffineProjectionQuantumBoundary.EliminatedKernel Agda.Primitive.lzero Cubical.Foundations.Equiv.Base.fiber Agda.Primitive.lzero Agda.Primitive.lzero AffineProjectionQuantumBoundary.Solutions AffineProjectionQuantumBoundary.ProjectedX AffineProjectionQuantumBoundary.projectX Cubical.Data.Fin.Base.fzero Cubical.Foundations.Isomorphism.invIso Agda.Primitive.lzero Cubical.Foundations.Equiv.Base.fiber Agda.Primitive.lzero Agda.Primitive.lzero AffineProjectionQuantumBoundary.Solutions AffineProjectionQuantumBoundary.ProjectedX AffineProjectionQuantumBoundary.projectX Cubical.Data.Fin.Base.fzero Agda.Primitive.lzero AffineProjectionQuantumBoundary.EliminatedKernel AffineProjectionQuantumBoundary.projectFiberIso Cubical.Data.Fin.Base.fzero 
AffineProjectionQuantumBoundary.kernel-coordinate-completes	d:FiniteInformation.Completes(d:Agda.Primitive.lzero()d:Agda.Primitive.lzero()d:Agda.Primitive.lzero()d:AffineProjectionQuantumBoundary.Solutions()d:AffineProjectionQuantumBoundary.ProjectedX()d:AffineProjectionQuantumBoundary.EliminatedKernel()d:AffineProjectionQuantumBoundary.projectX()d:AffineProjectionQuantumBoundary.kernelCoordinate())	
AffineProjectionQuantumBoundary.projection-environment-attains	d:Cubical.Functions.Embedding.isEmbedding(d:Agda.Primitive.lzero()d:AffineProjectionQuantumBoundary.Solutions()d:Agda.Primitive.lzero()d:Cubical.Data.Sigma.Base._×_(d:Agda.Primitive.lzero()d:Agda.Primitive.lzero()d:AffineProjectionQuantumBoundary.ProjectedX()d:AffineProjectionQuantumBoundary.EliminatedKernel())d:CertificateFibration._.recorded(d:Agda.Primitive.lzero()d:Agda.Primitive.lzero()d:Agda.Primitive.lzero()d:AffineProjectionQuantumBoundary.Solutions()d:AffineProjectionQuantumBoundary.ProjectedX()d:AffineProjectionQuantumBoundary.EliminatedKernel()d:AffineProjectionQuantumBoundary.projectX()d:AffineProjectionQuantumBoundary.kernelCoordinate()))	CertificateFibration._.Completes→isEmbedding Agda.Primitive.lzero Agda.Primitive.lzero Agda.Primitive.lzero AffineProjectionQuantumBoundary.Solutions AffineProjectionQuantumBoundary.ProjectedX AffineProjectionQuantumBoundary.EliminatedKernel AffineProjectionQuantumBoundary.projectX AffineProjectionQuantumBoundary.kernelCoordinate Cubical.Data.Fin.Properties.isSetFin Cubical.Data.Fin.Properties.isSetFin AffineProjectionQuantumBoundary.kernel-coordinate-completes 
