h,k,h+k,start_primes,endpoint_prime_pairs,all_prime_intermediate,compression_excursions,excursion_fraction,intermediate_charge_counts
2,2,4,22044,2579,1,2578,0.9996122528111672,"{""1"": 1, ""2"": 401, ""3"": 821, ""4"": 789, ""5"": 378, ""6"": 145, ""7"": 37, ""8"": 5, ""9"": 2}"
2,4,6,22044,5144,511,4633,0.9006609642301711,"{""1"": 511, ""2"": 1414, ""3"": 1575, ""4"": 995, ""5"": 438, ""6"": 159, ""7"": 39, ""8"": 7, ""9"": 5, ""10"": 1}"
2,6,8,22044,2604,490,2114,0.8118279569892473,"{""1"": 490, ""2"": 1024, ""3"": 780, ""4"": 246, ""5"": 58, ""6"": 5, ""7"": 1}"
2,10,12,22044,5135,755,4380,0.8529698149951315,"{""1"": 755, ""2"": 1715, ""3"": 1584, ""4"": 740, ""5"": 232, ""6"": 76, ""7"": 25, ""8"": 6, ""9"": 2}"
2,12,14,22044,3159,643,2516,0.796454574232352,"{""1"": 643, ""2"": 1279, ""3"": 889, ""4"": 295, ""5"": 47, ""6"": 5, ""7"": 1}"
2,30,32,22044,2567,760,1807,0.7039345539540319,"{""1"": 760, ""2"": 1143, ""3"": 573, ""4"": 81, ""5"": 10}"
4,2,6,22044,5144,498,4646,0.9031881804043546,"{""1"": 498, ""2"": 1410, ""3"": 1565, ""4"": 1023, ""5"": 452, ""6"": 146, ""7"": 31, ""8"": 14, ""9"": 5}"
4,4,8,22044,2604,1,2603,0.9996159754224271,"{""1"": 1, ""2"": 381, ""3"": 855, ""4"": 775, ""5"": 406, ""6"": 134, ""7"": 38, ""8"": 9, ""9"": 3, ""10"": 2}"
4,6,10,22044,3459,738,2721,0.7866435385949696,"{""1"": 738, ""2"": 1438, ""3"": 929, ""4"": 286, ""5"": 63, ""6"": 5}"
4,10,14,22044,3159,1,3158,0.9996834441278886,"{""1"": 1, ""2"": 750, ""3"": 1254, ""4"": 777, ""5"": 270, ""6"": 77, ""7"": 23, ""8"": 6, ""9"": 1}"
4,12,16,22044,2573,494,2079,0.8080062184220754,"{""1"": 494, ""2"": 1020, ""3"": 754, ""4"": 247, ""5"": 52, ""6"": 5, ""7"": 1}"
4,30,34,22044,2790,836,1954,0.7003584229390681,"{""1"": 836, ""2"": 1271, ""3"": 577, ""4"": 98, ""5"": 8}"
6,2,8,22044,2604,493,2111,0.8106758832565284,"{""1"": 493, ""2"": 1071, ""3"": 724, ""4"": 263, ""5"": 49, ""6"": 2, ""7"": 2}"
6,4,10,22044,3459,758,2701,0.7808615206707141,"{""1"": 758, ""2"": 1465, ""3"": 894, ""4"": 271, ""5"": 60, ""6"": 11}"
6,6,12,22044,5135,1006,4129,0.8040895813047712,"{""1"": 1006, ""2"": 2039, ""3"": 1458, ""4"": 517, ""5"": 104, ""6"": 10, ""7"": 1}"
6,10,16,22044,2573,761,1812,0.7042363000388652,"{""1"": 761, ""2"": 1155, ""3"": 555, ""4"": 91, ""5"": 11}"
6,12,18,22044,5219,1002,4217,0.8080091971642077,"{""1"": 1002, ""2"": 2100, ""3"": 1525, ""4"": 483, ""5"": 98, ""6"": 9, ""7"": 2}"
6,30,36,22044,5166,1493,3673,0.7109949670925281,"{""1"": 1493, ""2"": 2415, ""3"": 1052, ""4"": 192, ""5"": 14}"
10,2,12,22044,5135,753,4382,0.8533592989289192,"{""1"": 753, ""2"": 1710, ""3"": 1584, ""4"": 755, ""5"": 232, ""6"": 73, ""7"": 23, ""8"": 5}"
10,4,14,22044,3159,1,3158,0.9996834441278886,"{""1"": 1, ""2"": 748, ""3"": 1244, ""4"": 772, ""5"": 292, ""6"": 72, ""7"": 25, ""8"": 3, ""10"": 2}"
10,6,16,22044,2573,748,1825,0.7092887679751263,"{""1"": 748, ""2"": 1204, ""3"": 512, ""4"": 103, ""5"": 5, ""6"": 1}"
10,10,20,22044,3454,1,3453,0.9997104806022004,"{""1"": 1, ""2"": 754, ""3"": 1346, ""4"": 913, ""5"": 313, ""6"": 91, ""7"": 25, ""8"": 10, ""10"": 1}"
10,12,22,22044,2866,820,2046,0.7138869504535938,"{""1"": 820, ""2"": 1341, ""3"": 604, ""4"": 97, ""5"": 4}"
10,30,40,22044,3443,1027,2416,0.7017136218414174,"{""1"": 1027, ""2"": 1561, ""3"": 725, ""4"": 123, ""5"": 6, ""6"": 1}"
12,2,14,22044,3159,615,2544,0.805318138651472,"{""1"": 615, ""2"": 1291, ""3"": 893, ""4"": 300, ""5"": 57, ""6"": 3}"
12,4,16,22044,2573,501,2072,0.8052856587640886,"{""1"": 501, ""2"": 1039, ""3"": 741, ""4"": 236, ""5"": 51, ""6"": 4, ""7"": 1}"
12,6,18,22044,5219,1009,4210,0.8066679440505844,"{""1"": 1009, ""2"": 2129, ""3"": 1448, ""4"": 527, ""5"": 102, ""6"": 4}"
12,10,22,22044,2866,858,2008,0.7006280530355897,"{""1"": 858, ""2"": 1295, ""3"": 598, ""4"": 106, ""5"": 9}"
12,12,24,22044,5174,1017,4157,0.8034402783146501,"{""1"": 1017, ""2"": 2078, ""3"": 1455, ""4"": 512, ""5"": 103, ""6"": 7, ""7"": 2}"
12,30,42,22044,6219,1844,4375,0.7034893069625342,"{""1"": 1844, ""2"": 2898, ""3"": 1271, ""4"": 185, ""5"": 21}"
30,2,32,22044,2567,743,1824,0.7105570705103234,"{""1"": 743, ""2"": 1165, ""3"": 553, ""4"": 98, ""5"": 8}"
30,4,34,22044,2790,790,2000,0.7168458781362007,"{""1"": 790, ""2"": 1267, ""3"": 627, ""4"": 103, ""5"": 3}"
30,6,36,22044,5166,1529,3637,0.7040263259775454,"{""1"": 1529, ""2"": 2369, ""3"": 1069, ""4"": 188, ""5"": 10, ""6"": 1}"
30,10,40,22044,3443,1055,2388,0.6935811792041824,"{""1"": 1055, ""2"": 1518, ""3"": 743, ""4"": 117, ""5"": 10}"
30,12,42,22044,6219,1893,4326,0.6956102267245537,"{""1"": 1893, ""2"": 2835, ""3"": 1281, ""4"": 202, ""5"": 7, ""6"": 1}"
30,30,60,22044,6896,2065,4831,0.7005510440835266,"{""1"": 2065, ""2"": 3086, ""3"": 1479, ""4"": 246, ""5"": 18, ""6"": 2}"
