P001	landed:induction-candidate-1	x'	max(x',0)	
P002	landed:induction-candidate-1	x	max(x,0)	
P003	landed:refl	0	le(s(y),0)	
P004	landed:refl	0	le(s(x'),0)	
P005	landed:refl	0	le(s(x),0)	
P006	landed:refl	s(0)	le(0,y)	
P007	landed:induction-candidate-2	x	*(x,s(0))	
P008	landed:refl	s(y)	-(s(y),0)	
P009	landed:refl	s(x')	-(s(x'),0)	
P010	refused:proposer	s(0)	gcd(s(0),0)	gcd: the fuel-typed definition is owed (SanghattaSamapti names this close as separate work)
P011	refused:proposer	s(0)	gcd(0,s(0))	gcd: the fuel-typed definition is owed (SanghattaSamapti names this close as separate work)
P012	refused:proposer	s(y)	gcd(s(y),0)	gcd: the fuel-typed definition is owed (SanghattaSamapti names this close as separate work)
P013	refused:proposer	s(y)	gcd(0,s(y))	gcd: the fuel-typed definition is owed (SanghattaSamapti names this close as separate work)
P014	landed:refl	0	le(s(s(y)),0)	
P015	landed:refl	0	le(s(s(x')),0)	
P016	landed:refl	0	le(s(s(x)),0)	
P017	landed:refl	s(x)	max(s(x),0)	
P018	landed:refl	s(0)	le(0,s(x'))	
P019	landed:refl	s(0)	le(0,s(y))	
P020	landed:refl	s(x')	max(s(x'),0)	
P021	landed:induction-candidate-2	x'	+(x',*(x',0))	
P022	landed:refl	le(s(0),s(y))	s(0)	
P023	landed:refl	le(s(0),s(x'))	s(0)	
P024	landed:induction-candidate-1	max(s(x'),s(0))	s(x')	
P025	refused:kernel	*(s(le(x',0)),x')	x'	Checking Prastuta.P025 (/home/user/math/formal/cubical/Prastuta/P025.agda)./home/user/math/formal/cubical/Prastuta/P025.agda:26,20-42le a zero · a != zero of type ℕwhen checking that the expression cong suc (prastava a) has typesuc (le (suc a) zero) · suc a ≡ suc a
P026	landed:refl	s(x')	+(le(0,0),x')	
P027	landed:induction-candidate-1	s(x')	max(s(x'),s(0))	
P028	landed:refl	0	-(s(0),s(s(x')))	
P029	refused:kernel	0	-(x',+(s(x'),y'))	Checking Prastuta.P029 (/home/user/math/formal/cubical/Prastuta/P029.agda)./home/user/math/formal/cubical/Prastuta/P029.agda:25,19-23zero != a ∸' suc (a + zero) of type ℕwhen checking that the expression refl has typezero ≡ (a ∸' (suc a + zero))
P030	refused:kernel	0	-(y',+(y',s(x')))	Checking Prastuta.P030 (/home/user/math/formal/cubical/Prastuta/P030.agda)./home/user/math/formal/cubical/Prastuta/P030.agda:25,19-23zero != a ∸' (a + 1) of type ℕwhen checking that the expression refl has typezero ≡ (a ∸' (a + 1))
P031	landed:refl	0	le(s(s(s(y))),0)	
P032	landed:refl	0	le(+(s(y),y'),0)	
P033	landed:induction-candidate-1	0	le(+(y',s(x')),0)	
P034	landed:refl	0	le(s(s(s(x'))),0)	
P035	landed:refl	0	le(s(s(s(x))),0)	
P036	landed:refl	0	le(s(s(x')),s(0))	
P037	refused:kernel	0	le(+(s(x'),y'),x')	Checking Prastuta.P037 (/home/user/math/formal/cubical/Prastuta/P037.agda)./home/user/math/formal/cubical/Prastuta/P037.agda:26,22-461 != 0 of type ℕwhen checking that the expression cong suc (prastava a b) has typezero ≡ le (suc (suc b) + a) (suc b)
P038	landed:refl	0	le(s(*(x',y')),0)	
P039	landed:induction-candidate-1	s(x)	max(s(x),s(0))	
P040	landed:refl	s(0)	le(0,s(s(x')))	
