# निवृत्त — rows whose pair was re-asked this pass at a CURRENT digest,
# so this row's digest is superseded.  Kept, not deleted: शेषं रक्ष.
# A pair that was simply not asked is NOT retired — मौनं न निषेधः.
# addrF	addrG	rung	probe	verdict	class	where	obligation
0074dc7fb67fbc88	691b9dd8cf682647	१ refl	4ee82f7c4ab83c57	Refused	induction on List	Swarm.S13OptionSpread : ones ⇄ sum	ones (sum b) != b of type Agda.Builtin.List.List Agda.Builtin.Nat.Nat when checking that the expression refl has type ones (sum b) ≡ b
01b5f8b288dccf77	c04575196868501b	१ refl	90d567dbe0cc3584	Refused	मम दोषः · indexed family	NaturalMachine.RawWordPaddingNormalForm : paddingCount ⇄ zeroRun	Cannot instantiate the metavariable _B_5 to solution (D.Word k → Agda.Builtin.Nat.Nat) since it contains the variable k₁ which is not in scope of the metavariable when checking that the expression paddingCount has type
01b5f8b288dccf77	c04575196868501b	५ induction	4db22064fa42954d	Refused	unclassified	NaturalMachine.RawWordPaddingNormalForm : paddingCount ⇄ zeroRun	Cubical.Data.Nat.ℕ → D.Word b !=< Cubical.Data.Nat.ℕ when checking that the expression zeroRun b has type Cubical.Data.Nat.ℕ
0c9a7dc8e2721a2c	7be433b485bd8ab4	२/३ split	4b5160c485da41e8	Refused	case on ⊎	AchromaticToy : to₁₂ ⇄ to₂₁	to₁₂ (to₂₁ b) != b of type Agda.Builtin.Unit.⊤ Cubical.Data.Sum.Base.⊎ Agda.Builtin.Unit.⊤ when checking that the expression refl has type to₁₂ (to₂₁ b) ≡ b
0c9a7dc8e2721a2c	7be433b485bd8ab4	२/३ split	f9756903f391da16	Refused	case on ⊎	AchromaticToy : to₁₂ ⇄ to₂₁	inr Agda.Builtin.Unit.tt != inl w₀ of type Agda.Builtin.Unit.⊤ Cubical.Data.Sum.⊎ Agda.Builtin.Unit.⊤ when checking that the expression refl has type to₁₂ (to₂₁ (inl w₀)) ≡ inl w₀
1bff3701e54af00c	b907b98483d52bf0	१ refl	178a6e03b631a273	Refused	induction on ℕ	IntegerHullMultiplicity : Xs ⇄ hull	Xs (hull b) != b of type Agda.Builtin.Nat.Nat when checking that the expression refl has type Xs (hull b) ≡ b
1cf7012127e0a430	b907b98483d52bf0	१ refl	4346519d00a9241a	Refused	induction on ℕ	IntegerHullMultiplicity : Qs ⇄ hull	Qs (hull b) != b of type Agda.Builtin.Nat.Nat when checking that the expression refl has type Qs (hull b) ≡ b
2650153aedb02c19	43945c92f13b5836	१ refl	1a96e623a62bcfcd	Refused	case on ⊎	NaturalMachine.PMTorus : ctxToVertex ⇄ vertexToCtx	ctxToVertex (vertexToCtx b) != b of type Cubical.Data.FinData.Base.Fin 3 Cubical.Data.Sum.Base.⊎ Cubical.Data.FinData.Base.Fin 3 when checking that the expression refl has type
2650153aedb02c19	43945c92f13b5836	२/३ split	ac8d2bac291b3f37	Refused	case on ⊎	NaturalMachine.PMTorus : ctxToVertex ⇄ vertexToCtx	ctxToVertex (vertexToCtx (inl w₀)) != inl w₀ of type Cubical.Data.FinData.Base.Fin 3 Cubical.Data.Sum.⊎ Cubical.Data.FinData.Base.Fin 3 when checking that the expression refl has type
2ce4db593af0a296	b907b98483d52bf0	१ refl	043344525f23cc62	Refused	induction on ℕ	IntegerHullMultiplicity : N ⇄ hull	N (hull b) != b of type Agda.Builtin.Nat.Nat when checking that the expression refl has type N (hull b) ≡ b
30208a3dd63ddc1e	3020853dd63dd39f	२/३ split	f82fa5524935017e	Accepted	restates a host Iso	ProjectionChargeAudit : decode ⇄ encode	
341876d9abfb1a0c	067cb360bffd2ee2	१ refl	3e32119a03eabbbd	Refused	मम दोषः · indexed family	NaturalMachine.RawWordPaddingNormalForm : join ⇄ split	Cannot instantiate the metavariable _B_5 to solution (D.CanWord k Cubical.Data.Sigma.Base.× Agda.Builtin.Nat.Nat → D.Word k) since it contains the variable k₁
36414b2ff6712204	4a4814f2e666b0a5	२/३ split	d4a498a09ba47441	Accepted	restates a host Iso	AchromaticToy : from₁₂ ⇄ to₁₂	
3903b03ddb56c2a1	3903b13ddb56c454	४ Σ≡Prop	55720b800d53dc2e	Refused	case on Bool	SaptabhangiNaya : code' ⇄ decode	code (Cubical.Data.Empty.Base.rec (snd₁ (λ _ → false , false , false))) .fst != false of type Cubical.Data.Bool.Bool
3a65942cbb6411cf	573c4fe1de157037	१ refl	96a972c526dd5f3f	Refused	library lemma on ℤ	NaturalMachine.DSONucleusMiddleProduct : Nstar ⇄ Nsub	Cubical.Data.Int.Properties.min (Cubical.Data.Int.Properties.min (M3 x NaturalMachine.DSONucleusExecutionCalibration.Cell.e x₁ Cubical.Data.Int.Base.+
40a55345b34a46ed	e39e0f4dd3ba0eda	१ refl	c25a70fed9565aff	Refused	library lemma on ℤ	NaturalMachine.S3IntegerRelativeCoordinates : relativeCoordinates ⇄ relativeFromCoordinates	Cubical.Data.Int.Base.- (relativeCoordinates a .fst Cubical.Data.Int.Base.+ a .fst .NaturalMachine.S3IntegerPermutationModule.ℤ³.c₁) != a .fst .NaturalMachine.S3IntegerPermutationModule.ℤ³.c₂ of type
4432f7c5baa5e712	41d204847e9da453	१ refl	e963c33189a461ce	Refused	host type · NaturalMachine.HaskellDiscoveryBoundary.HaskellTerm	NaturalMachine.HaskellGenericSyntaxAdapter : fromGeneric ⇄ toGeneric	fromGeneric (toGeneric b) != b of type NaturalMachine.HaskellDiscoveryBoundary.HaskellTerm when checking that the expression refl has type fromGeneric (toGeneric b) ≡ b
4936033de431b79b	4936043de431b94e	१ refl	4722fbe9215f963f	Accepted	restates a host Iso	NaturalMachine.S3IntegerRelativeCoordinates : intersectionToKernel ⇄ kernelToIntersection	
493c733de436e199	493c753de436e4ff	१ refl	19ef82de4d63ce41	Refused	induction on ℕ	NaturalMachine.SieveFiber : q ⇄ σ	fst (stripF (pow 2 (b .fst) Agda.Builtin.Nat.* (pow 3 (b .snd .fst) Agda.Builtin.Nat.* pow 5 (b .snd .snd)))
493c733de436e199	493c753de436e4ff	५ induction	8bbaef04919e728e	Refused	induction on ℕ	NaturalMachine.SieveFiber : q ⇄ σ	1 != 0 of type Cubical.Data.Nat.ℕ when checking that the expression refl has type σ (q zero) ≡ zero
