# निर्णयपञ्जिका — keyed on नाम's content addresses and the probe's own digest.  A row stands until one of them moves.
# ROOTS: formal/cubical:/root/.cache/cubical-v0.9/Cubical
# TOOLCHAIN: Agda version 2.8.0 Built with flags (cabal -f)  - optimise-heavily: extra optimisations | libraries: /root/.cache/cubical-v0.9/cubical.agda-lib ; /home/user/math/formal/cubical/natural-machine.agda-lib
# The pin is Agda 2.8.0 / cubical v0.9 (formal/cubical/check.sh).  A row produced off-pin is evidence about THIS toolchain, not about the corpus.
# addrF	addrG	rung	probe	verdict	class	where	obligation
6b9f1eab8751d008	ef5c71b63c8f5e96	२/३ split	d4a498a09ba47441	Accepted	restates a host Iso	AchromaticToy : from₁₂ ⇄ to₁₂	
ef5c71b63c8f5e96	a620306424dc6fbb	२/३ split	f9756903f391da16	Refused	खण्डितम् · distinct constructors of _⊎_	AchromaticToy : to₁₂ ⇄ to₂₁	inr Agda.Builtin.Unit.tt != inl w₀ of type Agda.Builtin.Unit.⊤ Cubical.Data.Sum.⊎ Agda.Builtin.Unit.⊤ when checking that the expression refl has type to₁₂ (to₂₁ (inl w₀)) ≡ inl w₀
49df4d1257666a8f	f1c1b8852d27a8cd	५ induction	f7b083fa8c6f1dcc	Refused	induction on List	Bhitti_TheThreeInductionObligationsAreRefutedRoundTripsAndTheLedgerMisdiagnosedThem : Qs ⇄ hull	w₀ ∷ hull (Qs w₁) != hull (w₀ Cubical.Data.Nat.· w₀ Cubical.Data.Nat.+ Qs w₁) of type Cubical.Data.List.List Cubical.Data.Nat.ℕ when checking that the expression
903adf8a9baa40d1	f1c1b8852d27a8cd	५ induction	c2b18f6cfc7ca7c5	Refused	induction on List	Bhitti_TheThreeInductionObligationsAreRefutedRoundTripsAndTheLedgerMisdiagnosedThem : Xs ⇄ hull	w₀ ∷ hull (Xs w₁) != hull (w₀ Cubical.Data.Nat.+ Xs w₁) of type Cubical.Data.List.List Cubical.Data.Nat.ℕ when checking that the expression cong (λ z → w₀ ∷ z) (प्रतिलोमन w₁) has type
16d6622b29bd859e	2946fd635556ca17	१ refl	2ec6be59c3a91a91	Refused	library lemma on ℤ	CenterRelative : Φ ⇄ Ψ	Ψ b .fst Cubical.Data.Int.Base.+ (b .fst Cubical.Data.Int.Base.+ (Cubical.Data.Int.Base.- fst
		१ refl	82d571696dec4d2f	Refused	unclassified	Cubical.Data.Equality.Conversion : eqToPath ⇄ pathToEq	Ambiguous name isoToEquiv. It could refer to any one of Cubical.Foundations.Isomorphism.isoToEquiv bound at /root/.cache/cubical-v0.9/Cubical/Foundations/Isomorphism.agda:102.1-11 Cubical.Data.Equality.Conversion.isoToEquiv bound at
		१ refl	d9283a6a91b60f75	Refused	unclassified	Cubical.Data.Equality.Conversion : equivPathToEquiv ⇄ equivToEquivPath	Ambiguous name isoToEquiv. It could refer to any one of Cubical.Foundations.Isomorphism.isoToEquiv bound at /root/.cache/cubical-v0.9/Cubical/Foundations/Isomorphism.agda:102.1-11 Cubical.Data.Equality.Conversion.isoToEquiv bound at
		१ refl	de65bd869616186d	Refused	unclassified	Cubical.Data.Equality.Conversion : fiberPathToFiber ⇄ fiberToFiberPath	Ambiguous name isoToEquiv. It could refer to any one of Cubical.Foundations.Isomorphism.isoToEquiv bound at /root/.cache/cubical-v0.9/Cubical/Foundations/Isomorphism.agda:102.1-11 Cubical.Data.Equality.Conversion.isoToEquiv bound at
		१ refl	d245010bea7c9f5d	Refused	unclassified	Cubical.Data.Equality.Conversion : isContrPathToIsContr ⇄ isContrToIsContrPath	Ambiguous name isoToEquiv. It could refer to any one of Cubical.Foundations.Isomorphism.isoToEquiv bound at /root/.cache/cubical-v0.9/Cubical/Foundations/Isomorphism.agda:102.1-11 Cubical.Data.Equality.Conversion.isoToEquiv bound at
		१ refl	ab52d36ba19147cf	Refused	unclassified	Cubical.Data.Equality.Conversion : isPropPathToIsProp ⇄ isPropToIsPropPath	Ambiguous name isoToEquiv. It could refer to any one of Cubical.Foundations.Isomorphism.isoToEquiv bound at /root/.cache/cubical-v0.9/Cubical/Foundations/Isomorphism.agda:102.1-11 Cubical.Data.Equality.Conversion.isoToEquiv bound at
		५ induction	4e8ef5bc55c0c81b	Refused	induction on ℕ	Cubical.Data.Int.MoreInts.BiInvInt.Properties : abs ⇄ neg	suc (Cubical.Data.Int.Base.abs (Cubical.Data.Int.MoreInts.BiInvInt.Base.bwd (neg w₀))) !=
		५ induction	ff0f386be6b2f1af	Refused	induction on ℕ	Cubical.Data.Int.MoreInts.BiInvInt.Properties : abs ⇄ pos	suc (Cubical.Data.Int.Base.abs (Cubical.Data.Int.MoreInts.BiInvInt.Base.bwd (pos w₀))) !=
		२/३ split	b37bb0ad0d69675d	Refused	unclassified	Cubical.Data.Int.MoreInts.DeltaInt.Base : fromℤ ⇄ toℤ	The constructor cancel expects 3 arguments (including hidden ones), but has been given 1 (including hidden ones) when checking that the pattern cancel w₀ has type DeltaInt
		५ induction	ec1d12a06f6d08ec	Refused	host type · List' _A_9	Cubical.Experiments.List : fromList' ⇄ toList'	toList' (fromList' a) != a of type List' _A_9 when checking that the expression refl has type toList' (fromList' a) ≡ a
		१ refl	94cda3f30e5ca096	Refused	unclassified	Cubical.Foundations.Cubes : fromCube0 ⇄ toCube0	Unsolved metas at the following locations: /home/user/math/formal/cubical/AnulomaPratiloma_CubicalXFoundationsXCubes_fromCube0_toCube0.agda:27.10-13
		१ refl	13b13bfb4beb7764	Refused	host type · Type _ℓ'_3	Cubical.Foundations.Univalence : eqweqmap ⇄ ua	Agda.Builtin.Cubical.Glue.primGlue _B_8 (λ .x → (λ { (i = i0) → _A_7 , eqweqmap a ; (i = i1) → _B_8 , idEquiv _B_8
		१ refl	5ed26570f4d6b981	Refused	host type · isEquiv _16	Cubical.Foundations.Univalence : pathToEquiv ⇄ ua	transp (λ k → isEquiv (transp
